"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QDPPF2YX","journalArticle","2024","Li, Mingfeng; Li, Xin; Hu, Mianning; Deyu Yuan","Research on a Framework for Chinese Argot Recognition and Interpretation by Integrating Improved MECT Models","Entropy","","1099-4300","10.3390/e26040321","https://www.mdpi.com/1099-4300/26/4/321","In underground industries, practitioners frequently employ argots to communicate discreetly and evade surveillance by investigative agencies. Proposing an innovative approach using word vectors and large language models, we aim to decipher and understand the myriad of argots in these industries, providing crucial technical support for law enforcement to detect and combat illicit activities. Specifically, positional differences in semantic space distinguish argots, and pre-trained language models’ corpora are crucial for interpreting them. Expanding on these concepts, the article assesses the semantic coherence of word vectors in the semantic space based on the concept of information entropy. Simultaneously, we devised a labeled argot dataset, MNGG, and developed an argot recognition framework named CSRMECT, along with an argot interpretation framework called LLMResolve. These frameworks leverage the MECT model, the large language model, prompt engineering, and the DBSCAN clustering algorithm. Experimental results demonstrate that the CSRMECT framework outperforms the current optimal model by 10% in terms of the F1 value for argot recognition on the MNGG dataset, while the LLMResolve framework achieves a 4% higher accuracy in interpretation compared to the current optimal model.The related experiments undertaken also indicate a potential correlation between vector information entropy and model performance.","2024-04","2026-01-09 08:25:20","2026-02-02 14:52:48","2026-01-09 08:25:20","321","","4","26","","","","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","","","","argot recognition and interpretation; DBSCAN; information entropy; large language model; MECT model; prompt engineering; semantic space; transformer architecture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BBBA6R4","preprint","2024","Kim, Yongyeon; On, Byung-Won; Lee, Ingyu","Two-step Automated Cybercrime Coded Word Detection using Multi-level Representation Learning","","","","10.48550/arXiv.2403.10838","http://arxiv.org/abs/2403.10838","In social network service platforms, crime suspects are likely to use cybercrime coded words for communication by adding criminal meanings to existing words or replacing them with similar words. For instance, the word ‘ice’ is often used to mean methamphetamine in drug crimes. To analyze the nature of cybercrime and the behavior of criminals, quickly detecting such words and further understanding their meaning are critical. In the automated cybercrime coded word detection problem, it is difficult to collect a sufficient amount of training data for supervised learning and to directly apply language models that utilize context information to better understand natural language. To overcome these limitations, we propose a new two-step approach, in which a mean latent vector is constructed for each cybercrime through one of five different AutoEncoder models in the first step, and cybercrime coded words are detected based on multi-level latent representations in the second step. Moreover, to deeply understand cybercrime coded words detected through the two-step approach, we propose three novel methods: (1) Detection of new words recently coined, (2) Detection of words frequently appeared in both drug and sex crimes, and (3) Automatic generation of word taxonomy. According to our experimental results, among various AutoEncoder models, the stacked AutoEncoder model shows the best performance. Additionally, the F1-score of the two-step approach is 0.991, which is higher than 0.987 and 0.903 of the existing dark-GloVe and dark-BERT models. By analyzing the experimental results of the three proposed methods, we can gain a deeper understanding of drug and sex crimes.","2024-03-16","2025-11-28 09:52:02","2025-12-05 10:41:53","2025-12-05 10:19:09","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2403.10838 [cs]","","","","","","","","","","","","","","","","","","","","","","","","arXiv:2403.10838","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUDQ87LG","journalArticle","2023","Hughes, Jack; Caines, Andrew; Hutchings, Alice","Argot as a Trust Signal: Slang, Jargon & Reputation on a Large Cybercrime Forum","","","","10.17863/CAM.99595","https://www.repository.cam.ac.uk/handle/1810/353478","We apply signalling theory to a cybercrime forum to explore how argot (slang and jargon) is used to signal trust in untrustworthy environments. We develop an argot detection tool, using word embeddings from forum and non-forum datasets, which are aligned using training annotations. Compared with prior work, our approach improves performance, with an increase in the F1 and accuracy scores. Using the detected argot to create per-user variables, we find a negative correlation between the use of argot and reputation votes. We explore the trajectories of groups of forum members to observe how the use of argot and user reputation in the forum varies over time. Our findings indicate forum users are using argot to overcome the cold start problem, a conundrum faced by new users to social networks with ranking systems and marketplaces with feedback systems. A significant group of long-standing users is characterised by high levels of argot in their early forum postings. This decreases once reputation metrics increase. This particular trajectory group are amongst the highest-rated long-term members.","2023-07-05","2025-11-28 09:52:11","2025-11-28 09:52:11","2025-11-13 15:23:46","","","","","","","Argot as a Trust Signal","","","","","","","eng","","","","","www.repository.cam.ac.uk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TWZ56GR","conferencePaper","2023","Jin, Youngjin; Jang, Eugene; Cui, Jian; Chung, Jin-Woo; Lee, Yongjae; Shin, Seungwon","DarkBERT: A Language Model for the Dark Side of the Internet","Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)","","","10.18653/v1/2023.acl-long.415","https://aclanthology.org/2023.acl-long.415","Recent research has suggested that there are clear differences in the language used in the Dark Web compared to that of the Surface Web. As studies on the Dark Web commonly require textual analysis of the domain, language models specific to the Dark Web may provide valuable insights to researchers. In this work, we introduce DarkBERT, a language model pretrained on Dark Web data. We describe the steps taken to filter and compile the text data used to train DarkBERT to combat the extreme lexical and structural diversity of the Dark Web that may be detrimental to building a proper representation of the domain. We evaluate DarkBERT and its vanilla counterpart along with other widely used language models to validate the benefits that a Dark Web domain specific model offers in various use cases. Our evaluations show that DarkBERT outperforms current language models and may serve as a valuable resource for future research on the Dark Web.","2023","2025-11-28 09:52:11","2025-11-28 09:52:11","2025-11-14 12:16:28","7515-7533","","","","","","DarkBERT","","","","","Association for Computational Linguistics","Toronto, Canada","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)","","","","","","","","","","","","","","",""
"HHIUAGFD","conferencePaper","2021","Zhu, Wanzheng; Gong, Hongyu; Bansal, Rohan; Weinberg, Zachary; Christin, Nicolas; Fanti, Giulia; Bhat, Suma","Self-Supervised Euphemism Detection and Identification for Content Moderation","2021 IEEE Symposium on Security and Privacy (SP)","","2375-1207","10.1109/SP40001.2021.00075","https://ieeexplore.ieee.org/document/9519422/","Fringe groups and organizations have a long history of using euphemisms—ordinary-sounding words with a secret meaning—to conceal what they are discussing. Nowadays, one common use of euphemisms is to evade content moderation policies enforced by social media platforms. Existing tools for enforcing policy automatically rely on keyword searches for words on a ""ban list"", but these are notoriously imprecise: even when limited to swearwords, they can still cause embarrassing false positives [1]. When a commonly used ordinary word acquires a euphemistic meaning, adding it to a keyword-based ban list is hopeless: consider ""pot"" (storage container or marijuana?) or ""heater"" (household appliance or firearm?) The current generation of social media companies instead hire staff to check posts manually, but this is expensive, inhumane, and not much more effective. It is usually apparent to a human moderator that a word is being used euphemistically, but they may not know what the secret meaning is, and therefore whether the message violates policy. Also, when a euphemism is banned, the group that used it need only invent another one, leaving moderators one step behind.This paper will demonstrate unsupervised algorithms that, by analyzing words in their sentence-level context, can both detect words being used euphemistically, and identify the secret meaning of each word. Compared to the existing state of the art, which uses context-free word embeddings, our algorithm for detecting euphemisms achieves 30–400% higher detection accuracies of unlabeled euphemisms in a text corpus. Our algorithm for revealing euphemistic meanings of words is the first of its kind, as far as we are aware. In the arms race between content moderators and policy evaders, our algorithms may help shift the balance in the direction of the moderators.","2021-05","2025-11-28 09:52:02","2025-11-28 09:52:02","2025-11-13 15:19:10","229-246","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 IEEE Symposium on Security and Privacy (SP)","","","","","","","","","","","","","","",""
"UMDC9T95","conferencePaper","2023","Huang, Xinru; Zhao, Jiapeng; Shi, Jinqiao; Sun, Yanwei; Wang, Xuebin; Shen, Liyan","Syntactic Enhanced Euphemisms Identification Based on Graph Convolution Networks and Dependency Parsing","2023 8th International Conference on Data Science in Cyberspace (DSC)","","","10.1109/DSC59305.2023.00034","https://ieeexplore.ieee.org/document/10381088/","To evade content moderation policies, social media users adopt euphemisms (also called algospeak, which refers to a benign-looking alternative to sensitive content) to obfuscate their true intentions. Euphemisms identification task aims at understanding the confusing expressions and interpreting the true meanings of euphemisms, which plays a key role in recent euphemisms analysis. The leading euphemisms identification method defines this problem as a text classification task, which establishes a mapping between euphemisms and corresponding real-meaning words in a specific area through fine-grained classification. However, the traditional classification methods leverage explicit textual semantic features, where specific terms and oral swearing in user speech from forums may introduce bias to the classification results on specific areas and limit the performance of euphemisms identification. In this work, we propose SyGCN for euphemisms identification task. Specifically, SyGCN captures the explicit syntactic features by using dependency parsing tree as extended features and integrates syntactic features and semantic features into the Graph Convolution Network to enhance the identification performance. We conduct experiments on three sensitive categories and demonstrate the effectiveness of our method. The experimental results show that our model can effectively utilize the syntactic structure information of dependency parsing to improve the performance of euphemisms identification.","2023-08","2025-11-28 09:52:02","2025-11-28 09:52:02","2025-11-25 12:35:40","172-180","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","https://arxiv.org/pdf/2403.10838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 8th International Conference on Data Science in Cyberspace (DSC)","","","","","","","","","","","","","","",""
"T8B8B6Z3","conferencePaper","2025","Song, Minkyoo; Jang, Eugene; Kim, Jaehan; Shin, Seungwon","Covering Cracks in Content Moderation: Delexicalized Distant Supervision for Illicit Drug Jargon Detection","Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1","","","10.1145/3690624.3709183","http://arxiv.org/abs/2503.14926","In light of rising drug-related concerns and the increasing role of social media, sales and discussions of illicit drugs have become commonplace online. Social media platforms hosting user-generated content must therefore perform content moderation, which is a difficult task due to the vast amount of jargon used in drug discussions. Previous works on drug jargon detection were limited to extracting a list of terms, but these approaches have fundamental problems in practical application. First, they are trivially evaded using word substitutions. Second, they cannot distinguish whether euphemistic terms (pot, crack) are being used as drugs or as their benign meanings. We argue that drug content moderation should be done using contexts, rather than relying on a banlist. However, manually annotated datasets for training such a task are not only expensive but also prone to becoming obsolete. We present JEDIS, a framework for detecting illicit drug jargon terms by analyzing their contexts. JEDIS utilizes a novel approach that combines distant supervision and delexicalization, which allows JEDIS to be trained without human-labeled data while being robust to new terms and euphemisms. Experiments on two manually annotated datasets show JEDIS significantly outperforms state-of-the-art word-based baselines in terms of F1-score and detection coverage in drug jargon detection. We also conduct qualitative analysis that demonstrates JEDIS is robust against pitfalls faced by existing approaches.","2025-07-20","2025-11-28 09:52:02","2025-11-28 09:52:02","2025-11-13 15:23:23","1265-1276","","","","","","Covering Cracks in Content Moderation","","","","","","","en","","","","","arXiv.org","","arXiv:2503.14926 [cs]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BBUIYU6","conferencePaper","2021","Seyler, Dominic; Liu, Wei; Zhang, Yunan; Wang, XiaoFeng; Zhai, ChengXiang","DarkJargon.net: A Platform for Understanding Underground Conversation with Latent Meaning","Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval","978-1-4503-8037-9","","10.1145/3404835.3462801","https://dl.acm.org/doi/10.1145/3404835.3462801","An essential part of underground conversation are dark jargon terms. They are benign-looking, but have hidden, sometimes sinister meanings and are used by participants of underground forums for illicit behavior. For example, the dark term “rat” is often used in lieu of “Remote Access Trojan”. We present a novel online platform that caters to the understating of underground conversation with latent meaning. Our system enables researchers, law enforcement agents and “white-hat” hackers to gain invaluable insights into underground communication by providing them with a tool to (1) look-up dark jargon terms in a dictionary; (2) explore the usage of dark jargon over time and interpret their meaning; (3) collaborate and contribute their own research findings. Furthermore, we introduce a novel dark jargon interpretation method that leverages masked language modeling of a transformer-based architecture.","2021-07-11","2025-11-28 09:51:57","2025-11-28 09:51:57","2025-11-13 15:15:08","2526-2530","","","","","","DarkJargon.net","","","","","ACM","Virtual Event Canada","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGIR '21: The 44th International ACM SIGIR Conference on Research and Development in Information Retrieval","","","","","","","","","","","","","","",""
"F6Z3UEUD","conferencePaper","2016","Zhao, Kangzhi; Zhang, Yong; Xing, Chunxiao; Li, Weifeng; Chen, Hsinchun","Chinese underground market jargon analysis based on unsupervised learning","2016 IEEE Conference on Intelligence and Security Informatics (ISI)","","","10.1109/ISI.2016.7745450","https://ieeexplore-ieee-org.proxy.bnl.lu/document/7745450","With the rapid growth of online population, China has become the world's largest online market. This also gives rise to the Chinese underground market, which has facilitated many of the cybercrimes in China. Consequently, there is a need for research scrutinizing Chinese underground markets. One major challenge facing cybersecurity researchers is to understand the unfamiliar cybercriminal jargons. To this end, we are motivated to analyze jargons in Chinese underground market. Particularly, we utilize the recent advancements in unsupervised machine learning methods, word embedding and Latent Dirichlet Allocation. We evaluate our work on a research testbed encompassing 29 exclusive underground market QQ groups with 23,000 members. Specifically, we test the ability of the proposed approach to learn semantically similar words of known cybersecurity-related jargons. Results suggest the state-of-the-art unsupervised learning approaches can help better understand cybercriminal language, providing promising insights for future research on Chinese underground markets.","2016-09","2025-11-28 09:51:57","2025-11-28 09:51:57","2025-11-24 13:38:10","97-102","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 IEEE Conference on Intelligence and Security Informatics (ISI)","","","","","","","","","","","","","","",""
"MHU5C7NU","preprint","2024","Ji, Xu; Zhang, Jianyi; Zhou, Ziyin; Zhao, Zhangchi; Qiao, Qianqian; Han, Kaiying; Hossen, Md Imran; Hei, Xiali","Can't say cant? Measuring and Reasoning of Dark Jargons in Large Language Models","","","","10.48550/arXiv.2405.00718","http://arxiv.org/abs/2405.00718","Ensuring the resilience of Large Language Models (LLMs) against malicious exploitation is paramount, with recent focus on mitigating offensive responses. Yet, the understanding of cant or dark jargon remains unexplored. This paper introduces a domain-specific Cant dataset and CantCounter evaluation framework, employing Fine-Tuning, Co-Tuning, Data-Diffusion, and Data-Analysis stages. Experiments reveal LLMs, including ChatGPT, are susceptible to cant bypassing filters, with varying recognition accuracy influenced by question types, setups, and prompt clues. Updated models exhibit higher acceptance rates for cant queries. Moreover, LLM reactions differ across domains, e.g., reluctance to engage in racism versus LGBT topics. These findings underscore LLMs' understanding of cant and reflect training data characteristics and vendor approaches to sensitive topics. Additionally, we assess LLMs' ability to demonstrate reasoning capabilities. Access to our datasets and code is available at https://github.com/cistineup/CantCounter.","2024-04-25","2025-11-28 09:51:57","2025-11-28 09:51:57","2025-11-24 08:55:43","","","","","","","Can't say cant?","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2405.00718 [cs]","","","","","","","","","","","","","","","","","","","","","","","","arXiv:2405.00718","","","","","","","","","","","","","","","","","","","","","","","","","","",""
