Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Series;Publisher;Manual Tags;Included;Main Exclusion Reason
journalArticle;2022;"Hou, Yiwei; Wang, Hailin; Wang, Haizhou";Identification of Chinese dark jargons in Telegram underground markets using context-oriented and linguistic features;Information Processing & Management;;0306-4573;https://doi.org/10.1016/j.ipm.2022.103033;https://www.sciencedirect.com/science/article/pii/S030645732200142X;When cybercriminals communicate with their customers in underground markets, they tend to use secure and customizable instant messaging (IM) software, i.e. Telegram. It is a popular IM software with over 700 million monthly active users (MAU) up to June 2022. In recent years, more and more dark jargons (i.e. an innocent-looking replacement of sensitive terms) appear frequently on Telegram. Therefore, jargons identification is one of the most significant research perspectives to track online underground markets and cybercrimes. This paper proposes a novel Chinese Jargons Identification Framework (CJI-Framework) to identify dark jargons. Firstly, we collect chat history from Telegram groups that are related to the underground market and construct the corpus TUMCC (Telegram Underground Market Chinese Corpus), which is the first Chinese corpus in jargons identification research field. Secondly, we extract seven brand-new features which can be classified into three categories: Vectors-based Features (VF), Lexical analysis-based Features (LF), and Dictionary analysis-based Features (DF), to identify Chinese dark jargons from commonly-used words. Based on these features, we then run a statistical outlier detection to decide whether a word is a jargon. Furthermore, we employ a word vector projection method and a transfer learning method to improve the effect of the framework. Experimental results show that CJI-Framework achieves a remarkable performance with an F1-score of 89.66%. After adaptation for English, it performs better than state-of-the-art English jargons identification method as well. Our built corpus and code have been publicly released to facilitate the reproduction and extension of our work.;2022;;;"Feature engineering; Information security; Jargons identification; Transfer learning; Vectors projection; Word embedding";;No Dark Web
journalArticle;2021;"Li, Zhengyi; Du, Xiangyu; Liao, Xiaojing; Jiang, Xiaoqian; Champagne-Langabeer, Tiffany";Demystifying the Dark Web Opioid Trade: Content Analysis on Anonymous Market Listings and Forum Posts;Journal of Medical Internet Research;;1438-8871;https://doi.org/10.2196/24486;https://www.sciencedirect.com/science/article/pii/S1438887121001254;"Background Opioid use disorder presents a public health issue afflicting millions across the globe. There is a pressing need to understand the opioid supply chain to gain new insights into the mitigation of opioid use and effectively combat the opioid crisis. The role of anonymous online marketplaces and forums that resemble eBay or Amazon, where anyone can post, browse, and purchase opioid commodities, has become increasingly important in opioid trading. Therefore, a greater understanding of anonymous markets and forums may enable public health officials and other stakeholders to comprehend the scope of the crisis. However, to the best of our knowledge, no large-scale study, which may cross multiple anonymous marketplaces and is cross-sectional, has been conducted to profile the opioid supply chain and unveil characteristics of opioid suppliers, commodities, and transactions. Objective We aimed to profile the opioid supply chain in anonymous markets and forums via a large-scale, longitudinal measurement study on anonymous market listings and posts. Toward this, we propose a series of techniques to collect data; identify opioid jargon terms used in the anonymous marketplaces and forums; and profile the opioid commodities, suppliers, and transactions. Methods We first conducted a whole-site crawl of anonymous online marketplaces and forums to solicit data. We then developed a suite of opioid domain–specific text mining techniques (eg, opioid jargon detection and opioid trading information retrieval) to recognize information relevant to opioid trading activities (eg, commodities, price, shipping information, and suppliers). Subsequently, we conducted a comprehensive, large-scale, longitudinal study to demystify opioid trading activities in anonymous markets and forums. Results A total of 248,359 listings from 10 anonymous online marketplaces and 1,138,961 traces (ie, threads of posts) from 6 underground forums were collected. Among them, we identified 28,106 opioid product listings and 13,508 opioid-related promotional and review forum traces from 5147 unique opioid suppliers’ IDs and 2778 unique opioid buyers’ IDs. Our study characterized opioid suppliers (eg, activeness and cross-market activities), commodities (eg, popular items and their evolution), and transactions (eg, origins and shipping destination) in anonymous marketplaces and forums, which enabled a greater understanding of the underground trading activities involved in international opioid supply and demand. Conclusions The results provide insight into opioid trading in the anonymous markets and forums and may prove an effective mitigation data point for illuminating the opioid supply chain.";2021;;;"anonymous markets and forums; black market; drug abuse; machine learning; opioid crisis; opioid epidemic; opioid supply chain; opioids; text mining";;No Jargon
journalArticle;2026;"Domínguez-Díaz, Adrián; de-Marcos, Luis; Prado-Sánchez, Víctor-Pablo; Rodriguez, Daniel; Martínez-Herráiz, José-Javier";Classifying illicit dark web content through zero-shot prompting: An empirical study with GPT models;Information Processing & Management;;0306-4573;https://doi.org/10.1016/j.ipm.2025.104476;https://www.sciencedirect.com/science/article/pii/S0306457325004170;This study evaluates the classification performance of four GPT-based models (GPT-4.1, GPT-4.1-mini, GPT-4.1-nano, and o4-mini) under zero-shot prompting conditions on the complete, multilingual CoDA dataset of Dark Web content, comprising 10 illicit activity categories. The models GPT-4.1, GPT-4.1-mini, and o4-mini achieve a weighted F1 score of 0.885, surpassing prior zero-shot baselines on this dataset. Stability analysis using TARa@10 demonstrates high output consistency for GPT-4.1 (0.964) and GPT-4.1-mini (0.970), indicating their reliability for operational use. Multilingual evaluation reveals only a modest English vs. non-English performance gap for GPT-4.1 (0.031), while other models perform comparably across languages. The strongest results appear in Drugs, Gambling, and Porn (F1 > 0.9), whereas lower scores are observed in ambiguous or overlapping categories like Violence (F1 ? 0.76) or Crypto (F1 ? 0.84). A qualitative review of misclassifications suggests that some model predictions align with reasonable semantic interpretations, potentially highlighting annotation inconsistencies. This work establishes a performance baseline for GPT-based models in zero-shot classification of multilingual Dark Web content and underscores the importance of clear category definitions for effective deployment.;2026;;;"Dark web; GPT; Illicit activities; Text classification; Zero-shot";;No Jargon
journalArticle;2021;"Li, Ying; Cheng, Jiaxing; Huang, Cheng; Chen, Zhouguo; Niu, Weina";NEDetector: Automatically extracting cybersecurity neologisms from hacker forums;Journal of Information Security and Applications;;2214-2126;https://doi.org/10.1016/j.jisa.2021.102784;https://www.sciencedirect.com/science/article/pii/S2214212621000302;Underground hacker forums serve as an online social platform for hackers to communicate and spread hacking techniques and tools. In these forums, a lot of latest information indirectly or directly affects cyberspace security, thereby threatening the assets of enterprises or individuals. Therefore, social media such as hacker forums and twitter have a great impact on the cybersecurity area. In recent years, analyzing hacker forum data to explore hacking activities and cybersecurity situational awareness have aroused widespread interest among researchers. Automatically identifying cybersecurity words and extracting neologisms from open source social platforms are less successful and still require further research. In order to provide early warning of cyber attack incidents, we proposed NEDetector, a novel method to automatically identify cybersecurity words and extract neologisms from unstructured content, mainly focus on attack groups and hacking tools. NEDetector firstly analyzes the cybersecurity words and proposes four group features to build cybersecurity words identification model based on Bidirectional LSTM algorithm. Secondly, NEDetector introduces 4 sets of features to identify cybersecurity neologisms based on RandomForest algorithm. The experiment result shows that the whole system of NEDetector achieves an identification precision of 89.11%. Furthermore, the proposed extracting neologisms system is often earlier than having enough data in Google Trends when performing predictions on Twitter data, which prove the validity and timeliness of presented system.;2021;;;"Cybersecurity; Hacker forum; Hacker group; Hacking tool; Neologism";;No Dark Web
conferencePaper;2021;"Zhu, Wanzheng; Bhat, Suma";Euphemistic Phrase Detection by Masked Language Model;Findings of the Association for Computational Linguistics: EMNLP 2021;;;10.18653/v1/2021.findings-emnlp.16;https://aclanthology.org/2021.findings-emnlp.16;It is a well-known approach for fringe groups and organizations to use euphemisms—ordinary-sounding and innocent-looking words with a secret meaning—to conceal what they are discussing. For instance, drug dealers often use “pot” for marijuana and “avocado” for heroin. From a social media content moderation perspective, though recent advances in NLP have enabled the automatic detection of such single-word euphemisms, no existing work is capable of automatically detecting multi-word euphemisms, such as “blue dream” (marijuana) and “black tar” (heroin). Our paper tackles the problem of euphemistic phrase detection without human effort for the ?rst time, as far as we are aware. We ?rst perform phrase mining on a raw text corpus (e.g., social media posts) to extract quality phrases. Then, we utilize word embedding similarities to select a set of euphemistic phrase candidates. Finally, we rank those candidates by a masked language model—SpanBERT. Compared to strong baselines, we report 20-50% higher detection accuracies using our algorithm for detecting euphemistic phrases.;2021;;Association for Computational Linguistics;;;No Dark Web
conferencePaper;2017;"Durrett, Greg; Kummerfeld, Jonathan K.; Berg-Kirkpatrick, Taylor; Portnoff, Rebecca; Afroz, Sadia; McCoy, Damon; Levchenko, Kirill; Paxson, Vern";Identifying Products in Online Cybercrime Marketplaces: A Dataset for Fine-grained Domain Adaptation;Proceedings of the 2017 Conference on Empirical Methods in Natural           Language Processing;;;10.18653/v1/D17-1275;http://aclweb.org/anthology/D17-1275;;2017;;Association for Computational Linguistics;;;No Jargon
journalArticle;2022;"Pete, Ildiko; Hughes, Jack; Caines, Andrew; Vu, Anh V.; Gupta, Harshad; Hutchings, Alice; Anderson, Ross; Buttery, Paula";PostCog: A tool for interdisciplinary research into underground forums at scale;2022 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW);;;10.1109/EuroSPW55150.2022.00016;https://ieeexplore.ieee.org/document/9799416/;"Underground forums provide useful insights into cybercrime, where researchers analyse underlying economies, key actors, their discussions and interactions, as well as different types of cybercrime. This interdisciplinary topic of study incorporates expertise from diverse areas, including computer science, criminology, economics, psychol-ogy, and other social sciences. Historically, there were sig-nificant challenges around access to data, but there are now research datasets of millions of messages scraped from underground forums. The problems now stem from the size of these datasets and the technical nature of methods and tools available for data sampling and analysis at scale, which make data exploration difficult for non-technical users. Postcoghas been developed to solve this problem. We first provide a survey of prior work into underground forums; this was used to understand the requirements and functionalities valued by researchers, and to inform the design of a data exploration tool. We then describe Postcog,a web application developed to support users from both technical and non-technical backgrounds in forum analyses, such as search, information extraction and cross-forum comparison. The prototype's usability is then evaluated through two user studies with expert users of the Crimebbdataset. Postcogis made available for academic research upon signing an agreement with the Cambridge Cybercrime Centre.";2022-06;;IEEE;;;No Jargon
conferencePaper;2018;"Yuan, Kan; Lu, Haoran; Liao, Xiaojing; Wang, Xiaofeng";Reading Thieves' Cant: Automatically Identifying and Understanding Dark Jargons from Cybercrime Marketplaces;Usenix;;;;https://www.semanticscholar.org/paper/Reading-Thieves'-Cant%3A-Automatically-Identifying-Yuan-Lu/c898a32ab16bbf96a4683fe0101775cab15effd6;Underground communication is invaluable for understanding cybercrimes. However, it is often obfuscated by the extensive use of dark jargons , innocently-looking terms like “popcorn” that serves sinister purposes (buy-ing/selling drug, seeking crimeware, etc.). Discovery and understanding of these jargons have so far relied on manual effort, which is error-prone and cannot catch up with the fast evolving underground ecosystem. In this paper, we present the ?rst technique, called Cantreader , to automatically detect and understand dark jargon. Our approach employs a neural-network based embedding technique to analyze the semantics of words, detecting those whose contexts in legitimate documents are signi?cantly different from those in underground communication. For this purpose, we enhance the existing word embedding model to support semantic comparison across good and bad corpora, which leads to the detection of dark jargons. To further understand them, our approach utilizes projection learning to identify a jargon’s hypernym that sheds light on its true meaning when used in underground communication. Running Cantreader over one million traces collected from four underground forums, our approach automatically reported 3,462 dark jargons and their hypernyms, including 2,491 never known before. The study further reveals how these jargons are used (by 25% of the traces) and evolve and how they help cybercriminals communicate on legitimate forums.;2018;;;;x;
journalArticle;2021;"Zhu, Wanzheng; Gong, Hongyu; Bansal, Rohan; Weinberg, Zachary; Christin, Nicolas; Fanti, Giulia; Bhat, Suma";Self-Supervised Euphemism Detection and Identification for Content Moderation;2021 IEEE Symposium on Security and Privacy (SP);;;10.1109/SP40001.2021.00075;https://ieeexplore.ieee.org/document/9519422/;"Fringe groups and organizations have a long history of using euphemisms—ordinary-sounding words with a secret meaning—to conceal what they are discussing. Nowadays, one common use of euphemisms is to evade content moderation policies enforced by social media platforms. Existing tools for enforcing policy automatically rely on keyword searches for words on a ""ban list"", but these are notoriously imprecise: even when limited to swearwords, they can still cause embarrassing false positives [1]. When a commonly used ordinary word acquires a euphemistic meaning, adding it to a keyword-based ban list is hopeless: consider ""pot"" (storage container or marijuana?) or ""heater"" (household appliance or firearm?) The current generation of social media companies instead hire staff to check posts manually, but this is expensive, inhumane, and not much more effective. It is usually apparent to a human moderator that a word is being used euphemistically, but they may not know what the secret meaning is, and therefore whether the message violates policy. Also, when a euphemism is banned, the group that used it need only invent another one, leaving moderators one step behind.This paper will demonstrate unsupervised algorithms that, by analyzing words in their sentence-level context, can both detect words being used euphemistically, and identify the secret meaning of each word. Compared to the existing state of the art, which uses context-free word embeddings, our algorithm for detecting euphemisms achieves 30–400% higher detection accuracies of unlabeled euphemisms in a text corpus. Our algorithm for revealing euphemistic meanings of words is the first of its kind, as far as we are aware. In the arms race between content moderators and policy evaders, our algorithms may help shift the balance in the direction of the moderators.";2021-05;;IEEE;;x;
journalArticle;2022;"Lee, Patrick; Gavidia, Martha; Feldman, Anna; Peng, Jing";Searching for PETs: Using Distributional and Sentiment-Based Methods to Find Potentially Euphemistic Terms;;;;10.48550/ARXIV.2205.10451;https://arxiv.org/abs/2205.10451;This paper presents a linguistically driven proof of concept for finding potentially euphemistic terms, or PETs. Acknowledging that PETs tend to be commonly used expressions for a certain range of sensitive topics, we make use of distributional similarities to select and filter phrase candidates from a sentence and rank them using a set of simple sentiment-based metrics. We present the results of our approach tested on a corpus of sentences containing euphemisms, demonstrating its efficacy for detecting single and multi-word PETs from a broad range of topics. We also discuss future potential for sentiment-based methods on this task.;2022;;arXiv;;;No Dark Web
