title;conference;journal;preprint;not academic;name of pub;year;year-month;peer reviewd;library;type;focused topic;type simp
“Can’t Say Cant? Measuring and Reasoning of Dark Jargons in Large Language Models.” 2024;x;;;;Security and Privacy in Communication Networks. SecureComm 2024;2025;Aug 25;x; springer;a;general;approach
 “DarkBERT: A Language Model for the Dark Side of the Internet.” 2023;x;;;;Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics ;2023;Jul 23;x;ACL;a;general;approach
“An Unsupervised Detection Framework for Chinese Jargons in the Darknet.” 2022;x;;;;WSDM '22: The Fifteenth ACM International Conference on Web Search and Data Mining;2022;Feb 22;x;ACM;a;criminal activities, drugs, weapons;approach
“Covering Cracks in Content Moderation: Delexicalized Distant Supervision for Illicit Drug Jargon Detection.” 2025;x;;;;KDD 2025 : 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining;2025;Jul 25;x;ACM;a;drugs;approach
“Euphemism Identification via Feature Fusion and Individualization.” 2024;x;;;;2024 ACM Web Conference;2024;Mai 24;x;ACM;a;drugs, weapons, sexuality;approach
“Towards Dark Jargon Interpretation in Underground Forums.” 2021;x;;;;43rd European Conference on IR Research, ECIR 2021;2021;Jan 21;x;ACM;a;general;approach
“Two-Step Automated Cybercrime Coded Word Detection Using Multi-Level Representation Learning.” 2024;;;x;;arxiv;2024;Mrz 24;;dblp;a;drugs, sexuality;approach
“Chinese Underground Market Jargon Analysis Based on Unsupervised Learning.” 2016 ;x;;;;2016 IEEE Conference on Intelligence and Security Informatics (ISI);2016;Sep 16;x;IEEE Xplore;a;underground markets;approach
“Self-Supervised Euphemism Detection and Identification for Content Moderation.” 2021 ;x;;;;2021 IEEE Symposium on Security and Privacy (SP);2021;Mai 21;x;IEEE Xplore;a;drugs, weapons, sexuality;approach
“Syntactic Enhanced Euphemisms Identification Based on Graph Convolution Networks and Dependency Parsing.” 2023;x;;;;2023 8th International Conference on Data Science in Cyberspace (DSC);2023;Aug 23;x;IEEE Xplore;a;drugs, weapons, sexuality;approach
How to Learn Klingon without a Dictionary: Detection and Measurement of Black Keywords Used by the Underground Economy;x;;;;2017 IEEE Symposium on Security and Privacy (SP);2017;Mai 17;x;IEEE Xplore;a;seo keywords;approach
Research on a Framework for Chinese Argot Recognition and Interpretation by Integrating Improved MECT Models (2024);;x;;;mdpi;2024;Apr 24;x; mdpi;a;general;approach
"""Argot as a Trust Signal: Slang, Jargon & Reputation on a Large Cybercrime Forum."" 2023";x;;;;The 22nd Workshop on the Economics of Information Security (WEIS);2023;Jul 23;x; University of cambridge repository;a;hacking;approach
“Reading Thieves’ Cant: Automatically Identifying and Understanding Dark Jargons from Cybercrime Marketplaces.” 2018;x;;;;27th USENIX Security Symposium (USENIX Security 18);2018;Aug 18;x; usenix;a;underground markets;approach
“A Novel Cross-Domain Adaptation Framework for Unsupervised Criminal Jargon Detection via Pre-Trained Contextual Embedding of Darknet Corpus.” 2024;;x;;;Expert Systems with Applications;2024;Mai 24;x;sciencedirect;a;activities;approach
“DarkJargon.Net: A Platform for Understanding Underground Conversation with Latent Meaning.” (2021);x;;;;Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval;2021;Jul 21;x;ACM;t;general;approach
Al Nabki, Mhd Wesam, Eduardo Fidalgo, Enrique Alegre, and Ivan de Paz. “Classifying Illegal Activities on Tor Network Based on Web Textual Contents.” (DUTA, 2017);x;;;;15th Conference of the European Chapter of the Association for Computational Linguistics: ;2017;Apr 17;x;ACL;ds;activities;resource
Al-Nabki, Mhd Wesam, Eduardo Fidalgo, Enrique Alegre, and Laura Fernández-Robles. “ToRank: Identifying the Most Influential Suspicious Domains in the Tor Network.” (DUTA-10K, 2019);;x;;;Expert Systems with Applications;2019;Jun 19;x;sciencedirect;ds;activities;approach
Durrett, Greg, Jonathan K. Kummerfeld, Taylor Berg-Kirkpatrick, et al. “Identifying Products in Online Cybercrime Marketplaces: A Dataset for Fine-Grained Domain Adaptation.” (2017);x;;;;2017 Conference on Empirical Methods in Natural Language Processing;2017;Sep 17;x;ACL;ds; products ;resource
"Johannes Bogensperger, Sven Schlarb, Allan Hanbury, Gábor Recski. ""DreamDrug - A crowdsourced NER dataset for detecting drugs in darknet markets."" (2021)";x;;;;Seventh Workshop on Noisy User-generated Text (W-NUT 2021);2021;;x;ACL;ds;drugs;resource
Jin, Youngjin, Eugene Jang, Yongjae Lee, Seungwon Shin, and Jin-Woo Chung. “Shedding New Light on the Language of the Dark Web.” (CoDA, 2022);x;;;;2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies;2022;Jul 22;x;ACL;ds;activities;resource
Darknet Market Archives (2013–2015);;;;x;;2015;Jan 18;;;ds;underground markets;resource
Damaso, John, and Colleen Cotter. “UrbanDictionary.Com.” (2007);;;;x;;2025;2007;;;wl;general;resource
DEA. “2018 Slang Terms and Code Words.” (2018);;;;x;;2018;Jan 18;;;wl;drugs;resource
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
