Short title;Primary;Secondary
Argot as a Trust Signal;argot;slang, jargon
An Unsupervised Detection Framework for Chinese Jargons in the Darknet;jargon;
Can't say cant?;cant;dark jargon, slang, argot, secret language
Chinese Underground Market Jargon Analysis Based on Unsupervised Learning;jargon;
DarkBERT;jargon;
Covering Cracks in Content Moderation;jargon;drug jargon, euphemism, slang
DarkJargon.net;dark jargon;dark term 
Euphemism Identification via Feature Fusion and Individualization;euphemism;
How to Learn Klingon Without a Dictionary;Black keywords;jargon
A novel cross-domain adaptation framework for unsupervised criminal jargon detection via pre-trained contextual embedding of darknet corpus;jargon;dark jargon
Reading Thieves’ Cant;dark jargon;jargon, slang
Research on a Framework for Chinese Argot Recognition and Interpretation by Integrating Improved MECT Models;argot;hidden words
Self-Supervised Euphemism Detection and Identification for Content Moderation;euphemism;slang
Syntactic Enhanced Euphemisms Identification Based on Graph Convolution Networks and Dependency Parsing;euphemism;dark jargon
Towards Dark Jargon Interpretation in Underground Forums;dark jargon;dark words
Two-step Automated Cybercrime Coded Word Detection using Multi-level Representation Learning;cybercrime coded words;argot
